type,name,steam_appid,developers,publishers,website,categories,genres,steam_url,detection_stage,api_response_type,potential_duplicate,release_date,description,supported_languages,discovery_date
game,Running Horror,3565900,Amorphous Arts,N/A,https://www.amorphousarts.com,Single-player,Action;Indie;Free To Play,https://store.steampowered.com/app/3565900,public_unreleased,full_details,False,"Jul 14, 2025","A first-person horror game where you must explore a vast labyrinth, evade a relentless demonic Beast, and find trapped survivors to reverse a miscast spell and escape.",*;*,2025-07-08
game,Megan AI,3848530,Chris Z.,Chris Z.,,Single-player;Playable without Timed Input;Family Sharing,Casual;Indie;Simulation;Early Access,https://store.steampowered.com/app/3848530,public_unreleased,full_details,False,Coming soon,"Chat with a lifelike AI companion that runs on your own PC. Type or speak to a MetaHuman avatar powered by on-device language models. Swap GGUF models, tune prompts, and watch the conversation unfold in real time—offline, no cloud required",*;*,2025-07-08
music,Warden's Will Soundtrack,3844460,ELYZIO,ELYZIO,,,,https://store.steampowered.com/app/3844460,public_unreleased,full_details,False,Coming soon,Warden's Will Official Soundtrack,,2025-07-08
game,Mazzy,3852740,YLGames,Shepherd Games,,Single-player,Casual;Indie;RPG;Strategy;Free To Play,https://store.steampowered.com/app/3852740,public_unreleased,full_details,False,To be announced,"Mazzy is a pixel-style casual puzzle game built around the core concept of rotating the level. Rotate the level, collect the items, and reshape the maze to reach the goal. Simple and fun.",*;*,2025-07-08
game,Stories of Somnia,3635640,Lydian Games,Lydian Games,https://lydiangames.net,Single-player;Full controller support;Custom Volume Controls;Stereo Sound;Family Sharing,Action;Adventure;Indie;RPG,https://store.steampowered.com/app/3635640,public_unreleased,full_details,False,2026,"Unravel a story-rich adventure blending real-time exploration with turn-based combat. Play as Lumia, trapped in her dreams, bond with Dreamkin, and master dreamweaving abilities to fix a world consumed by Gloam",English,2025-07-08
dlc,Ship Graveyard Simulator 2 - Fishing Boats DLC,3826010,Games Incubator;Hypnotic Ants,Games Incubator;PlayWay S.A.,https://games-i.com/,Single-player;Multi-player;Co-op;Online Co-op;Downloadable Content;Steam Achievements;Steam Cloud;Family Sharing,Action;Adventure;Casual;Indie;Simulation,https://store.steampowered.com/app/3826010,public_unreleased,full_details,False,"Jul 24, 2025","Expand your shipbreaking adventure with the Fishing Boats DLC! Take on a fresh challenge as you dismantle a new class of shipwrecks, discover unique loot, and tackle the hazards of abandoned fishing boats filled with surprises","*;, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Traditional Chinese, Turkish;*",2025-07-08
game,Crown of Lust [18+] 👑,3684740,Taboo Tales 💘,Taboo Tales 💘,,Single-player;Family Sharing,Adventure;Casual;RPG,https://store.steampowered.com/app/3684740,public_unreleased,full_details,False,2025,"Outsmart nobles, steal their gold, and seduce your way to freedom! Crown of Lust 👑 is a spicy 18+ visual novel where brains beat swords and every choice leads to new pleasures — or fresh trouble. Your dirty rise to glory starts now!",*;*,2025-07-08
game,Buzz Wars,2703770,DrunkenTurnip,DrunkenTurnip,,Single-player;Multi-player;PvP;Online PvP;Family Sharing,Action;Indie;Strategy,https://store.steampowered.com/app/2703770,public_unreleased,full_details,False,Coming soon,"Buzz Wars is a wasp and bee themed strategy and fighting game with multiple playable units, various paths to win and multiple maps. Face off against other players or against AI opponents in fast paced real time matches. Find your strategy - are you more a builder, a fighter or both?",English;Spanish - Spain,2025-07-08
game,审判者,3723730,生旦净末丑工作室,北京水思维科技发展有限公司,,Single-player;Family Sharing,RPG,https://store.steampowered.com/app/3723730,public_unreleased,full_details,False,Coming soon,《审判者》是一款由金牌编剧冷小张打造的交互式解谜推理影游。《人民的名义》演员黄俊鹏×张志坚化身刑警双雄，携手破解“不可能犯罪”谜局，多米诺骨牌效应引发后续案件环环相扣。密室推演、疑犯审讯、舆论审判、多线结局，影视级沉浸，解构人性困局。喜欢本格及社会派推理的玩家不可错过的悬疑推理罪案刑侦游戏。,*;*,2025-07-08
game,Kando Realm,3017040,KO Studio Games,KO Studio Games,https://www.kostudiogames.com/,Multi-player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer,Adventure;Indie;Massively Multiplayer;RPG;Free To Play;Early Access,https://store.steampowered.com/app/3017040,public_unreleased,full_details,False,Q4 2025,"Journey into the world of Kando. Take on creatures, craft awesome weapons, help villagers and cut down tree's. Will you slay your way to the top? Or become a master craftsman. It's all down to you.",*;*,2025-07-08
